060,3,8000,70,0.9545819759368896,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,4,8000,50,1.3974277973175049,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,67,1.5774130821228027,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,73,1.5443661212921143,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,8000,63,1.510298252105713,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,70,1.5067198276519775,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,8000,40,1.5535249710083008,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,8000,69,0.958010196685791,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,61,0.9556739330291748,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,71,1.0166618824005127,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,8000,50,0.9691987037658691,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,8000,74,0.9700753688812256,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,8000,50,1.518866777420044,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,8000,70,3.1824655532836914,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,65,3.2582263946533203,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,67,1.4891269207000732,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,8000,64,1.5164210796356201,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,8000,54,0.45728397369384766,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,50,0.4713551998138428,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,48,0.46276354789733887,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
