060,1,0,64,0.7153480052947998,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,68,0.8481471538543701,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,69,0.7968082427978516,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,65,1.1755421161651611,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,70,1.4560637474060059,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,65,2.233023166656494,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,2,0,69,1.4482808113098145,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,69,2.022339344024658,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,65,1.249054193496704,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,0,0,53,0.2728273868560791,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,59,0.2639756202697754,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,46,0.26320457458496094,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,54,0.26238512992858887,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,60,0.25994300842285156,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,66,0.27073240280151367,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,60,0.2650418281555176,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
010,2,0,70,0.26917004585266113,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,56,0.26804232597351074,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,68,0.266188383102417,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,65,0.27850914001464844,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,59,0.29195690155029297,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,64,0.28133153915405273,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,60,0.2748596668243408,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
015,4,0,68,0.27712106704711914,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,66,0.2928593158721924,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,1,0,63,0.30736756324768066,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,65,0.2933948040008545,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,68,0.30400681495666504,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,64,0.2904393672943115,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,68,0.30904531478881836,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,67,0.5354502201080322,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,56,0.4064972400665283,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,68,0.47125935554504395,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,62,0.3447718620300293,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
