015,2,0,64,0.2820556163787842,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,66,0.2747058868408203,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,62,0.2705504894256592,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,62,0.2900881767272949,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,63,0.29795074462890625,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,66,0.2889230251312256,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,54,0.28850317001342773,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,59,0.2887296676635742,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,68,0.30260753631591797,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,66,0.4395620822906494,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,57,0.3485386371612549,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,51,0.46753549575805664,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,67,0.40448808670043945,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,62,0.7463452816009521,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,0,60,0.8120560646057129,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,64,1.4504337310791016,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,65,0.9826257228851318,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,66,0.7086105346679688,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,0,0,68,1.2382466793060303,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,62,1.577383041381836,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,2,0,68,2.007308006286621,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,68,1.5552563667297363,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,4,0,68,1.1286067962646484,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,65,0.26824426651000977,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,63,0.26317691802978516,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,45,0.2625572681427002,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,51,0.26335978507995605,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,4,0,49,0.2681605815887451,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,69,0.2793734073638916,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,60,0.26455116271972656,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
010,2,0,68,0.26756978034973145,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,0.27037501335144043,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,66,0.269533634185791,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,68,0.29814696311950684,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,57,0.3373720645904541,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,63,0.2934844493865967,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,0,54,0.27367138862609863,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,61,0.2742633819580078,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,62,0.297105073928833,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,67,0.3525114059448242,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,64,0.2940042018890381,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,66,0.31602001190185547,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
020,4,0,64,0.2936983108520508,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,65,0.3013112545013428,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
030,1,0,52,0.6387088298797607,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,57,0.5643167495727539,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,62,0.5776140689849854,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,67,0.8030390739440918,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,66,1.1591384410858154,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,1,0,62,1.8956141471862793,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
060,2,0,62,1.5977418422698975,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,3,0,62,1.633803367614746,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,0,68,1.8541452884674072,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,62,2.4358246326446533,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,1,0,62,2.859107732772827,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,2,0,62,3.8787710666656494,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,3,0,68,3.8846824169158936,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,4,0,68,3.039806604385376,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,0,0,64,0.6403217315673828,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,63,0.6428914070129395,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,45,0.6902787685394287,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,51,0.8167734146118164,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,58,0.42475104331970215,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,64,0.6704368591308594,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,61,0.7119669914245605,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,0,66,0.7348790168762207,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,61,0.7157511711120605,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,64,0.7031702995300293,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,66,0.7440619468688965,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,58,0.702775239944458,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,64,0.8262877464294434,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,57,0.7495427131652832,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
015,4,0,62,0.7436816692352295,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,61,0.8269326686859131,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,63,0.9110186100006104,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,66,0.8301165103912354,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,66,0.7252862453460693,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,62,0.756514310836792,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,65,0.7693037986755371,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,1,0,68,1.2332980632781982,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,68,0.9976663589477539,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,0,62,0.9510173797607422,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,62,1.0642292499542236,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
060,0,0,53,1.1517674922943115,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,0,61,1.869189739227295,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,2,0,68,1.6509974002838135,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,64,1.0116868019104004,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,68,0.8877818584442139,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,68,1.7249910831451416,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,68,1.8328330516815186,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,68,2.5314574241638184,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,60,2.9032089710235596,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
100,4,0,68,5.934798240661621,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,65,0.27971887588500977,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,60,0.26125073432922363,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,45,0.6322851181030273,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,51,0.7003638744354248,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,62,0.6835100650787354,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,55,0.7843141555786133,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,59,0.8085203170776367,{'C': 100, 'gamma': 1, 'kernel': 'rbf'}
010,2,0,67,0.8372108936309814,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,61,0.29184818267822266,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,0,64,0.6970572471618652,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,60,0.8221375942230225,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,55,0.7783658504486084,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,64,0.7664453983306885,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,54,0.8176591396331787,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,61,0.7043004035949707,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,61,0.801422119140625,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,0,58,0.9468958377838135,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,66,0.9252080917358398,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,49,0.7845497131347656,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,63,0.655961275100708,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,65,0.7592222690582275,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
030,1,0,66,1.3632760047912598,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,51,0.7898209095001221,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,54,1.2786493301391602,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,67,0.5008368492126465,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,67,1.3963549137115479,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,1,0,61,2.389488935470581,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,2,0,68,1.6205196380615234,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,66,1.2247638702392578,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,68,1.2915306091308594,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,68,3.2690067291259766,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,68,3.2356138229370117,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,0,68,2.671027660369873,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,0,62,3.4226510524749756,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,4,0,62,2.178459405899048,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,0,0,64,0.39163851737976074,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,64,0.45815205574035645,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,46,0.5989093780517578,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,51,0.7561087608337402,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,4,0,49,0.2665708065032959,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,46,0.7027263641357422,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,64,0.58370041847229,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,68,0.7029531002044678,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,0.7305059432983398,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,62,0.6786673069000244,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,60,0.7864830493927002,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,57,0.7880454063415527,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,64,0.6894242763519287,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,54,0.7832775115966797,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,61,0.6653010845184326,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,62,0.7221522331237793,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,58,0.9194982051849365,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,2,0,62,0.7855079174041748,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,66,0.7527356147766113,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
020,4,0,62,0.7454690933227539,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,65,0.8883316516876221,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,1,0,70,1.3547277450561523,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,64,0.9238791465759277,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,49,4.142252445220947,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,68,0.9251093864440918,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,65,1.5853796005249023,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,1,0,67,1.8041236400604248,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,67,1.5877001285552979,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,67,2.2884767055511475,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,66,6.368268251419067,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,0,0,68,2.610192060470581,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,68,2.666346311569214,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,68,2.6065313816070557,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,0,62,2.967301845550537,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,4,0,62,3.1167352199554443,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,0,0,55,0.5727965831756592,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,63,0.5438220500946045,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,46,0.5741817951202393,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,51,0.2904345989227295,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
