30,0,0,70,0.932032347,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,1,0,52,0.967087746,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
30,2,0,58,0.881531,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
30,3,0,64,1.315818787,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,4,0,68,1.04343605,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
60,0,0,67,1.465595961,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
60,1,0,72,1.427359343,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
60,2,0,70,1.510982037,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
60,3,0,72,1.362419128,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
60,4,0,66,1.452975512,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,68,2.314409256,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,74,2.191242695,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,73,2.439009428,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,74,2.387348652,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,1.379053831,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
5,0,0,52,0.804985762,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,1,0,57,0.729870796,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,2,0,52,0.696575165,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,57,0.686130762,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,4,0,61,0.729603052,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,0,0,49,0.771099329,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
10,1,0,51,0.69436264,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
10,2,0,64,0.626038313,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
10,3,0,69,0.443952084,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
10,4,0,52,0.794705629,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
15,0,0,66,0.748383999,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,1,0,64,0.824240208,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,2,0,65,0.76132369,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
15,3,0,56,0.809384584,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,4,0,68,0.714217424,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
20,0,0,66,0.996007919,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
20,1,0,64,0.773624182,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,2,0,46,0.930280209,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
20,3,0,57,0.842034578,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
20,4,0,50,0.879535675,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
30,0,0,66,0.981960773,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
30,1,0,66,1.044865608,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
30,2,0,73,0.983362675,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
30,3,0,66,0.45279789,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,4,0,65,0.417760611,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,0,0,66,0.548757315,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
60,1,0,68,0.537233114,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
60,2,0,70,0.546732664,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
60,3,0,68,1.114018679,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
60,4,0,72,0.543607712,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,74,1.923716307,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,74,1.904769897,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,68,1.930166721,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,74,1.913137913,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,1.91552496,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
5,0,0,63,0.751081467,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
5,1,0,57,0.744415522,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,2,0,52,0.808477163,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,62,0.823551655,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
5,4,0,52,0.692756653,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
10,0,0,66,0.826027155,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
10,1,0,51,0.695020914,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
10,2,0,64,0.808929205,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
10,3,0,50,0.802464008,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
10,4,0,63,0.833370686,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,0,0,58,0.747716427,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
15,1,0,57,0.844700098,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
15,2,0,64,0.849321604,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,3,0,62,0.776134491,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
15,4,0,66,0.733783245,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
20,0,0,65,0.79039669,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,1,0,56,0.878556013,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
20,2,0,64,0.735487461,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
20,3,0,70,0.916106224,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
20,4,0,59,0.949745893,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
30,0,0,70,0.909483433,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,1,0,65,0.838664055,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,2,0,70,0.990262747,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
30,3,0,69,0.768068075,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
