005,0,0,50,0.5309996604919434,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,0,51,0.2893705368041992,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,2,0,52,0.28774166107177734,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,64,0.2879633903503418,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,54,0.28592920303344727,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,50,0.29434823989868164,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,52,0.6011559963226318,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,59,0.6004674434661865,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,3,0,51,0.5852653980255127,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,48,0.6118927001953125,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,0,53,0.8938145637512207,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,0,60,0.3010430335998535,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,62,0.6012539863586426,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,0,55,0.4065592288970947,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,58,0.3131687641143799,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,0,0,61,0.33339619636535645,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,50,0.33406639099121094,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,0,50,0.72416090965271,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
020,3,0,50,0.5784666538238525,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,66,0.34023141860961914,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,0,0,63,0.7726895809173584,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,0,53,0.6527812480926514,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,2,0,65,0.38211750984191895,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
030,3,0,62,0.3808443546295166,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,0,58,0.3793642520904541,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,65,0.5553052425384521,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,50,1.156102180480957,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,58,1.1233694553375244,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,64,1.1899971961975098,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,50,0.8578932285308838,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,73,0.9147083759307861,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,50,0.9217126369476318,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,63,1.0270984172821045,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,73,0.9162476062774658,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,62,0.9212231636047363,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,0,50,0.27765440940856934,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,0,64,0.2730371952056885,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,0,52,0.270214319229126,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,54,0.27069973945617676,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,0,54,0.26880598068237305,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,72,0.27687788009643555,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,0,52,0.2769315242767334,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,60,0.2767939567565918,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,0,49,0.27690792083740234,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,60,0.2791602611541748,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
