015,4,8000,64,0.7857024669647217,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,63,1.0137150287628174,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,1,8000,66,1.18758225440979,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,8000,66,0.9858694076538086,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,8000,64,0.9300210475921631,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,66,0.8521628379821777,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,8000,67,1.3249988555908203,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,8000,63,2.331200361251831,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,8000,68,1.327695608139038,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,3,8000,62,1.6869831085205078,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,8000,67,1.113560676574707,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,68,1.5487380027770996,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,66,3.2816200256347656,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,2,8000,65,3.0301074981689453,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,3,8000,67,2.7966010570526123,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,67,1.5733461380004883,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,8000,66,3.72991943359375,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,8000,67,4.2048704624176025,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,8000,64,4.4019036293029785,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,3,8000,68,3.6535396575927734,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,68,4.794783592224121,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,8000,65,1.892066240310669,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,8000,65,2.2110860347747803,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,8000,64,0.4625241756439209,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,8000,67,0.5887777805328369,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
005,4,8000,60,2.216505289077759,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
010,0,8000,58,1.1426582336425781,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
010,1,8000,62,0.8599929809570312,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,8000,62,0.7272930145263672,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
010,3,8000,52,1.046583890914917,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,8000,60,1.3071274757385254,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,8000,67,1.247124195098877,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
015,1,8000,62,0.9822993278503418,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,2,8000,67,0.9245572090148926,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,63,0.8198263645172119,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,8000,64,0.5187184810638428,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,63,0.5243785381317139,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
020,1,8000,66,0.7047877311706543,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,8000,67,0.9710555076599121,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,8000,64,1.8385865688323975,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,8000,64,0.8587446212768555,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,8000,66,0.6966550350189209,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,8000,63,4.777804613113403,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,8000,68,1.0786995887756348,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,8000,62,1.930800437927246,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
030,4,8000,67,1.2753076553344727,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,66,2.749849557876587,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
060,1,8000,66,3.387004852294922,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,2,8000,67,2.234755754470825,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,8000,67,1.3358979225158691,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,8000,63,1.2042977809906006,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
100,0,8000,66,2.859285593032837,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
